Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1IICT,2017.06,7547.723,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2017.09,7594.737,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2017.12,7761.85,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2018.03,7899.052,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2018.06,7954.664,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2018.09,7998.694,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2018.12,8109.274,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2019.03,8269.789,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2019.06,8385.423,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2019.09,8372.944,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2019.12,8236.702,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2020.03,8019.017,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2020.06,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2020.09,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2020.12,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2021.03,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2021.06,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1IICT,2021.09,,Y,C,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 1),Sales (operating income),"Transport, Postal and Warehousing",Current,Trend,
BDCQ.SF1JJ1CA,2016.06,3497.474,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
BDCQ.SF1JJ1CA,2016.09,3686.892,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable (NZSIOC Level 2),Sales (operating income),Information Media and Telecommunications,Current prices,Unadjusted,
